ID,Kabupaten,Provinsi,Indonesia,2015,2016,2017,2018,2019,2020
1,Kemiskinan,0,0,20.39,19.57,19.71,18.51,17.95,17.6
2,Pengangguran,0,0,0,0,4.91,6.49,7.25,6.93
